filename,has_parallel_sides,angle_z,pos_x,pos_y
images_png\0.png,no,62.40873716572082,54.29708174943762,47.64763775630469
images_png\1.png,no,35.671662045746494,53.91114019982721,46.33514082605092
images_png\2.png,no,32.899795745490785,54.71778650921,54.43539634239748
images_png\3.png,yes,-64.10207439837122,48.28952701142133,50.2275556848725
images_png\4.png,yes,-50.5130710291185,51.60717394292091,53.04367287623365
images_png\5.png,no,3.423065506013504,53.18647215807044,50.17089443739238
images_png\6.png,yes,-80.83407795946793,46.41308413799974,50.4117122732794
images_png\7.png,yes,-33.42161541694508,47.29116424290857,46.19580414453745
images_png\8.png,yes,2.6196503544430465,49.61386372922831,53.90097819120591
images_png\9.png,yes,-17.887460214613604,48.66864487511481,50.95929079380873
images_png\10.png,no,80.98524068505822,47.0750273054003,50.99322563590352
images_png\11.png,no,-77.59154212708432,51.10952663621622,49.39888754510286
images_png\12.png,yes,-51.15207849599975,45.483157637726016,47.9658256123723
images_png\13.png,no,78.19060041153834,52.93269025838307,49.09372734643815
images_png\14.png,no,40.116036370285464,48.25583194232849,45.919083848242494
images_png\15.png,yes,-26.069230808845827,51.88523122465756,45.72701536912713
images_png\16.png,no,-38.26676194600871,47.40363235162897,48.38859493154591
images_png\17.png,yes,-84.32869992772052,48.33498851563826,48.86744810085
images_png\18.png,no,-28.807506282174945,50.28516123755711,47.57178058438846
images_png\19.png,no,-68.83807625390372,49.12050038121645,50.46882936982909
images_png\20.png,yes,78.66442700254382,49.100381855061556,46.54983299993816
images_png\21.png,yes,23.824706517698182,48.46207819551327,53.34540125130792
images_png\22.png,yes,58.14985552714004,54.821599699663224,52.911545176012226
images_png\23.png,no,-11.556495277312282,54.11632321795914,54.695542239487814
images_png\24.png,yes,3.4522269640585583,46.78111420430817,54.40795235695753
images_png\25.png,no,58.537888448635265,54.78523955139237,48.30835927035528
images_png\26.png,yes,78.35108333807972,45.926074620280325,46.58119177790372
images_png\27.png,no,49.757419122616746,48.20109499816881,47.921866638188575
images_png\28.png,yes,89.41252980867704,54.42242286248374,50.61877338514235
images_png\29.png,no,21.79869874825218,45.680688714350836,53.64095186091837
images_png\30.png,yes,-47.59458450464311,54.57992803982272,52.91544983350597
images_png\31.png,yes,-45.49863098307071,46.78242567773441,48.735004953467794
images_png\32.png,yes,-19.56271602582584,53.883516318614156,54.698799895852005
images_png\33.png,no,10.823965762386456,50.219701281023845,46.17521083517488
images_png\34.png,no,-58.80487484364574,49.51878614978936,47.02683831068709
images_png\35.png,no,-29.574144047410908,47.256403985289396,47.886991148221824
images_png\36.png,yes,-20.022218355189352,47.215812165015464,54.57068248132785
images_png\37.png,yes,50.85929866973112,46.572925652590904,52.395895827761755
images_png\38.png,yes,-60.930896206360316,53.176142345136014,46.72052512076654
images_png\39.png,yes,23.216116729416925,52.52225146882308,50.10979501369395
images_png\40.png,yes,48.91975407093301,54.65128668892234,45.203620683265214
images_png\41.png,yes,11.666319924293235,51.64143315198244,46.63132617069951
images_png\42.png,no,-4.3396148617276,53.78136354652657,45.17676280316657
images_png\43.png,yes,63.361523797806534,49.21903695784781,45.308700248619985
images_png\44.png,yes,55.395079937112776,50.68088829896498,51.98630493240379
images_png\45.png,yes,47.61061273146416,51.382439276509274,50.78954100067793
images_png\46.png,no,23.636028017167757,45.0854451702672,45.37033838269084
images_png\47.png,no,-13.747121010429108,48.070441352447986,50.63928482195453
images_png\48.png,yes,79.57315332571797,52.010719674385136,50.482861565751755
images_png\49.png,yes,-54.19766112483213,54.95386538159265,45.36263134117267
images_png\50.png,no,-66.13363097029014,47.50564422828752,45.999372343463776
images_png\51.png,no,85.48123748630506,53.39611554204487,53.94698377561408
images_png\52.png,yes,-7.5170498054585355,49.88692701648152,45.280023925382096
images_png\53.png,no,-26.11698029075075,46.30944346906747,51.492655993682085
images_png\54.png,yes,-41.53630047283554,51.889101435922335,50.39460804727532
images_png\55.png,no,-80.17076285067365,49.83426968001977,53.39536877562442
images_png\56.png,no,-60.60941148467963,48.19195081207297,50.830352860891445
images_png\57.png,yes,29.275653259713565,54.8774111574434,45.541950869164495
images_png\58.png,yes,29.6101320972272,46.40205335003592,54.51113317595317
images_png\59.png,no,18.570212361596962,51.42616409617249,54.07596356624919
images_png\60.png,yes,-24.319430245193374,47.295017371789136,52.47155942658094
images_png\61.png,yes,47.481000173172475,52.838143433977336,45.90274270843502
images_png\62.png,yes,-4.819188526339301,53.834115724123095,54.748999831408405
images_png\63.png,no,75.38042578469799,48.094600735620915,53.22563828796642
images_png\64.png,no,-12.65744079592526,47.59938579127033,49.013238208720104
images_png\65.png,yes,29.43835892404037,51.20222768870139,45.24950401580752
images_png\66.png,yes,-71.05151357443573,54.760287879911985,48.1005100208831
images_png\67.png,yes,49.979147675722395,49.14506760067592,52.4933126654227
images_png\68.png,no,-10.015969017637673,51.37315718720583,48.6559880570334
